S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,2,MEAT AND EDIBLE MEAT OFFAL.,,68.05,
2,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1049976.79,1003795.81,-4.4
3,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",77.19,15.54,-79.87
4,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1729.1,2389.98,38.22
5,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,997.67,934.41,-6.34
6,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,96288.15,77601.78,-19.41
7,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,8673.25,6087.74,-29.81
8,9,"COFFEE, TEA, MATE AND SPICES.",489900.23,634014.26,29.42
9,10,CEREALS.,390736.18,23511.56,-93.98
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,395.88,142.31,-64.05
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",54326.09,51414.41,-5.36
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",50748.71,37417.01,-26.27
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,3811.24,11719.43,207.5
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,620868.07,578426.71,-6.84
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",2278.76,1377.65,-39.54
