S.No.,Country,2022-2023,%Share,2023-2024,%Share,%Growth
1,AFGHANISTAN,349497.81,0.0965,294271.23,0.0813,-15.8
2,ALBANIA,282091.42,0.0779,955574.35,0.264,238.75
3,ALGERIA,493476.51,0.1363,702538.33,0.1941,42.37
4,AMERI SAMOA,22.64,0,3440.25,0.001,15097.33
5,ANDORRA,181.19,0.0001,262.29,0.0001,44.76
6,ANGOLA,499169.47,0.1378,578303.97,0.1598,15.85
7,ANGUILLA,33.96,0,219.75,0.0001,547.09
8,ANTARTICA,83.86,0,215.44,0.0001,156.92
9,ANTIGUA,2339.83,0.0006,12341.8,0.0034,427.46
10,ARGENTINA,766711.04,0.2117,899051.77,0.2484,17.26
11,ARMENIA,49566.44,0.0137,78128.53,0.0216,57.62
12,ARUBA,11812.97,0.0033,12232.21,0.0034,3.55
13,AUSTRALIA,5555482.59,1.534,6566764.17,1.8145,18.2
14,AUSTRIA,1017757.23,0.281,941251.24,0.2601,-7.52
15,AZERBAIJAN,81373.28,0.0225,74289.72,0.0205,-8.71
16,BAHAMAS,10344.33,0.0029,88347.73,0.0244,754.07
17,BAHARAIN IS,778779.62,0.215,754172.95,0.2084,-3.16
18,BANGLADESH PR,9778450.59,2.7001,9165197.84,2.5326,-6.27
19,BARBADOS,19252.77,0.0053,15594.73,0.0043,-19
20,BELARUS,35191.95,0.0097,36287.86,0.01,3.11
21,BELGIUM,7099803.3,1.9604,6486226.29,1.7923,-8.64
22,BELIZE,12836.57,0.0035,11145.92,0.0031,-13.17
23,BENIN,720409.46,0.1989,621582.04,0.1718,-13.72
24,BERMUDA,4052.2,0.0011,5038.44,0.0014,24.34
25,BHUTAN,866258.27,0.2392,797993.86,0.2205,-7.88
26,BOLIVIA,61950.03,0.0171,59066,0.0163,-4.66
27,BOSNIA-HRZGOVIN,13886.29,0.0038,24217.27,0.0067,74.4
28,BOTSWANA,135225.3,0.0373,90420.93,0.025,-33.13
29,BR VIRGN IS,366.33,0.0001,528.85,0.0001,44.36
30,BRAZIL,7960684.39,2.1981,4980912.58,1.3763,-37.43
31,BRITISH INDIAN,22.45,0,,,
32,BRUNEI,55771.83,0.0154,55799.83,0.0154,0.05
33,BULGARIA,170058.28,0.047,185187.44,0.0512,8.9
34,BURKINA FASO,141939.91,0.0392,99983.45,0.0276,-29.56
35,BURUNDI,34538.81,0.0095,31804.74,0.0088,-7.92
36,C AFRI REP,16582.74,0.0046,54002.75,0.0149,225.66
37,CAMBODIA,177043.2,0.0489,153433.99,0.0424,-13.34
38,CAMEROON,448317.89,0.1238,375987.25,0.1039,-16.13
39,CANADA,3293896.84,0.9095,3183684.74,0.8797,-3.35
40,CAPE VERDE IS,3599.72,0.001,2611.71,0.0007,-27.45
41,CAYMAN IS,4566.31,0.0013,5900.33,0.0016,29.21
42,CHAD,46302.68,0.0128,66194.67,0.0183,42.96
43,CHILE,936922.46,0.2587,979460.08,0.2706,4.54
44,CHINA P RP,12277398.94,3.3901,13796645.41,3.8123,12.37
45,CHRISTMAS IS.,,,2.84,0,
46,COCOS IS,9.63,0,10.53,0,9.36
47,COLOMBIA,1158746.81,0.32,1009130.38,0.2788,-12.91
48,COMOROS,32288.85,0.0089,23162.06,0.0064,-28.27
49,CONGO D. REP.,506600.44,0.1399,480453.1,0.1328,-5.16
50,CONGO P REP,143740.8,0.0397,145814.57,0.0403,1.44
51,COOK IS,110.41,0,189.5,0.0001,71.64
52,COSTA RICA,154744.75,0.0427,152144.74,0.042,-1.68
53,COTE D' IVOIRE,715413.8,0.1975,567330.33,0.1568,-20.7
54,CROATIA,268759.08,0.0742,193147.99,0.0534,-28.13
55,CUBA,64742.17,0.0179,33288.91,0.0092,-48.58
56,CYPRUS,65837.48,0.0182,78584.59,0.0217,19.36
57,CZECH REPUBLIC,943900.13,0.2606,1151136.5,0.3181,21.96
58,DENMARK,730921.44,0.2018,708924.86,0.1959,-3.01
59,DJIBOUTI,964245.67,0.2663,947592.84,0.2618,-1.73
60,DOMINIC REP,264187.37,0.0729,287231.65,0.0794,8.72
