S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,2,MEAT AND EDIBLE MEAT OFFAL.,156249.54,227898.06,45.86
2,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",31511.35,2721.51,-91.36
3,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",31273.82,31352.88,0.25
4,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",,29.08,
5,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,465.35,1057.39,127.22
6,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,34300.97,37072.98,8.08
7,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,81853.61,75386.82,-7.9
8,9,"COFFEE, TEA, MATE AND SPICES.",100404.91,119837.73,19.35
9,10,CEREALS.,942857.11,1129217.7,19.77
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,12734.96,9817.96,-22.91
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",13681.48,29196.54,113.4
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",3040.36,2300.37,-24.34
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,1443.3,1527.23,5.82
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,12931.81,12726.38,-1.59
15,17,SUGARS AND SUGAR CONFECTIONERY.,232295.26,9795.82,-95.78
16,18,COCOA AND COCOA PREPARATIONS.,5423.32,6447.93,18.89
17,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",15206.25,23403.9,53.91
18,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",45994.83,51551.42,12.08
19,21,MISCELLANEOUS EDIBLE PREPARATIONS.,17841.64,22265.95,24.8
20,22,"BEVERAGES, SPIRITS AND VINEGAR.",464.67,491.28,5.73
