S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,2,MEAT AND EDIBLE MEAT OFFAL.,8204.36,14314.55,74.47
2,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",29048.31,26293.71,-9.48
3,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",13439.61,16564.01,23.25
4,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1.05,,
5,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,1894.29,2115.41,11.67
6,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,21383.85,20542.22,-3.94
7,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,10619.69,11756.52,10.7
8,9,"COFFEE, TEA, MATE AND SPICES.",18892.63,20479.49,8.4
9,10,CEREALS.,65775.61,77909.89,18.45
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1733.9,3083.1,77.81
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",10636.87,8815.22,-17.13
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",3393.24,4107.43,21.05
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,254.96,90.53,-64.49
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,22136.21,29554.74,33.51
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",192.24,263.01,36.81
16,17,SUGARS AND SUGAR CONFECTIONERY.,15728.84,8713.66,-44.6
17,18,COCOA AND COCOA PREPARATIONS.,1023.61,2043.81,99.67
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",6955.28,8227.77,18.3
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3960.27,5065.47,27.91
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,14324.06,15068.57,5.2
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",21731.32,24828.46,14.25
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,2271.7,2317.65,2.02
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,35671.48,27780.11,-22.12
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",5488.96,4614.62,-15.93
25,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",4032041.32,5831559.37,44.63
