S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,1,LIVE ANIMALS.,3216.07,9188.51,185.71
2,2,MEAT AND EDIBLE MEAT OFFAL.,163204.46,278013.35,70.35
3,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",119083.21,128266.05,7.71
4,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",58080.16,69143.13,19.05
5,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",37.15,70.33,89.33
6,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,4733,4673.72,-1.25
7,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,214578.33,174603.55,-18.63
8,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,235649.93,250535.82,6.32
9,9,"COFFEE, TEA, MATE AND SPICES.",302854.29,335213.07,10.68
10,10,CEREALS.,523521.35,389844.53,-25.53
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,43591.32,21166.97,-51.44
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",52001.8,79211.31,52.32
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",15048.39,14096.84,-6.32
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,1477.31,2125.47,43.87
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,40017.88,45219.3,13
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",2247.61,2398.12,6.7
17,17,SUGARS AND SUGAR CONFECTIONERY.,243774.71,126748.7,-48.01
18,18,COCOA AND COCOA PREPARATIONS.,6719.21,11526.05,71.54
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",40187.53,51523.24,28.21
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",47288.32,60600.77,28.15
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,89042.91,101635.72,14.14
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",80851.44,111907.61,38.41
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,21232.76,118700.6,459.04
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,141456.9,237291.12,67.75
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",57647.76,66034.43,14.55
26,26,"ORES, SLAG AND ASH.",16337.28,7572.44,-53.65
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",6947191.31,6819440.83,-1.84
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",326464.32,155230.54,-52.45
29,29,ORGANIC CHEMICALS,513743.11,729758.09,42.05
30,30,PHARMACEUTICAL PRODUCTS,147846.37,184230.79,24.61
31,31,FERTILISERS.,1937.14,3957.37,104.29
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",94733,859970.17,807.78
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",329649.76,524834.08,59.21
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",67333.54,81116.46,20.47
35,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,31349,37742.4,20.39
36,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,1814.81,1139.69,-37.2
37,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,1129.02,1642.32,45.47
38,38,MISCELLANEOUS CHEMICAL PRODUCTS.,169412.69,171802.93,1.41
39,39,PLASTIC AND ARTICLES THEREOF.,358036.95,387431.61,8.21
40,40,RUBBER AND ARTICLES THEREOF.,123444.13,156776.07,27
41,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,2034.04,1738.28,-14.54
42,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",45115.52,38615.9,-14.41
43,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",65.44,55.25,-15.57
44,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,49981.45,41088.73,-17.79
45,45,CORK AND ARTICLES OF CORK.,553.85,698.49,26.12
46,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",1669.73,1397.36,-16.31
47,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,10.77,41.14,281.82
48,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",332833.19,276142.38,-17.03
49,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",12210.4,14789.33,21.12
50,50,SILK,23321.72,33735.61,44.65
51,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",2164.13,1914.89,-11.52
52,52,COTTON.,96609.1,117001.78,21.11
53,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,7461.53,8923.14,19.59
54,54,MAN-MADE FILAMENTS.,161245.69,150906.26,-6.41
55,55,MAN-MADE STAPLE FIBRES.,87960.56,75343.43,-14.34
56,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",24905.05,30921.31,24.16
57,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,37129.81,37177.51,0.13
58,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,19664.33,17225.82,-12.4
59,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",23811.82,20975.88,-11.91
60,60,KNITTED OR CROCHETED FABRICS.,7340.6,8177.04,11.39
61,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",560694.83,512028.85,-8.68
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",426853.39,440244.89,3.14
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,173561.22,194732.61,12.2
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",67740.26,69258.02,2.24
65,65,HEADGEAR AND PARTS THEREOF.,3603.59,3809.61,5.72
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",247.44,35.08,-85.82
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,2042.83,5065.89,147.98
68,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",72181.98,74329.66,2.98
69,69,CERAMIC PRODUCTS.,122673.81,137686.94,12.24
70,70,GLASS AND GLASSWARE.,50010.64,56415.31,12.81
71,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",4647993,6667326.99,43.45
72,72,IRON AND STEEL,839925.61,536777.36,-36.09
73,73,ARTICLES OF IRON OR STEEL,376487.21,483892.45,28.53
74,74,COPPER AND ARTICLES THEREOF.,53637.93,99565.62,85.63
75,75,NICKEL AND ARTICLES THEREOF.,6623.16,6139.92,-7.3
76,76,ALUMINIUM AND ARTICLES THEREOF.,84807.16,108724.23,28.2
77,78,LEAD AND ARTICLES THEREOF.,33150.27,36696.17,10.7
78,79,ZINC AND ARTICLES THEREOF.,108933.19,44637.38,-59.02
79,80,TIN AND ARTICLES THEREOF.,2394.52,4494.5,87.7
80,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,301.7,1063.33,252.44
81,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",54208.53,47059.19,-13.19
82,83,MISCELLANEOUS ARTICLES OF BASE METAL.,35286.71,40450.76,14.63
83,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",865342.03,1129496.03,30.53
84,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2938774.6,2930621.08,-0.28
85,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",713.59,1592.33,123.15
86,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",577072.74,671657.69,16.39
87,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",13660.66,337615.66,2371.45
88,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",471264.53,764005.94,62.12
89,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",99443.6,260459.03,161.92
90,91,CLOCKS AND WATCHES AND PARTS THEREOF.,6432.68,21531.02,234.71
91,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,4946.16,4481.13,-9.4
92,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,4561.1,1599.51,-64.93
93,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",56358.01,62261.98,10.48
94,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",9499.77,8668.08,-8.75
95,96,MISCELLANEOUS MANUFACTURED ARTICLES.,29409.06,44180.7,50.23
96,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,9144.34,7976.67,-12.77
97,98,PROJECT GOODS; SOME SPECIAL USES.,1193.67,3587.13,200.51
98,99,MISCELLANEOUS GOODS.,7.48,13.76,83.89
