S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",108912.6,104742.85,-3.83
2,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",434.1,670.58,54.48
3,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",375.11,264.43,-29.51
4,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,3519.69,3963.36,12.61
5,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,42395.25,59108.39,39.42
6,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,44103.55,56082.01,27.16
7,9,"COFFEE, TEA, MATE AND SPICES.",91191.52,119208.45,30.72
8,10,CEREALS.,126492.91,194709.47,53.93
9,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,15399.21,21660.88,40.66
10,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",18561.92,27897.36,50.29
11,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",14406.96,15458.83,7.3
12,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,1894.66,2176.85,14.89
13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,11318.64,16485.04,45.65
14,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",7238.46,4104.07,-43.3
15,17,SUGARS AND SUGAR CONFECTIONERY.,12855.83,12827.06,-0.22
16,18,COCOA AND COCOA PREPARATIONS.,1069.47,444.05,-58.48
17,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",28540.57,39030.18,36.75
18,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",47739.66,61746.89,29.34
19,21,MISCELLANEOUS EDIBLE PREPARATIONS.,46727.55,66731.76,42.81
20,22,"BEVERAGES, SPIRITS AND VINEGAR.",3594.63,6264.93,74.29
21,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,12289.33,10999.23,-10.5
22,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,691.22,2386.16,245.21
23,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",35710.76,39663.47,11.07
24,26,"ORES, SLAG AND ASH.",15338.54,13458.97,-12.25
25,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",749695.55,1103646.19,47.21
26,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",93476.73,131578.54,40.76
27,29,ORGANIC CHEMICALS,218071.87,221219.84,1.44
28,30,PHARMACEUTICAL PRODUCTS,426328.88,562831.72,32.02
29,31,FERTILISERS.,243.37,92.06,-62.17
30,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",31262.41,27721.2,-11.33
31,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",50504.84,57578.62,14.01
32,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",21297.75,21103.71,-0.91
33,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2863.69,4492.88,56.89
34,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,519.51,1403.38,170.14
35,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,5.18,130.58,2419.55
36,38,MISCELLANEOUS CHEMICAL PRODUCTS.,98222.61,80630.67,-17.91
37,39,PLASTIC AND ARTICLES THEREOF.,204887.29,198874.03,-2.93
38,40,RUBBER AND ARTICLES THEREOF.,98957.4,113279.79,14.47
39,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,545.56,562.5,3.11
40,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",173406.24,162381.02,-6.36
41,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",36.23,6.26,-82.73
42,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,14985.53,17125.74,14.28
43,45,CORK AND ARTICLES OF CORK.,48.92,211.48,332.28
44,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",5236.32,5918.78,13.03
45,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.53,4.1,677.29
46,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",118618.83,223369.61,88.31
47,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",23087.4,29646.92,28.41
48,50,SILK,4489.76,3689.18,-17.83
49,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",24765.24,31848.21,28.6
50,52,COTTON.,18054.97,15522.2,-14.03
51,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,15918.65,17139.17,7.67
52,54,MAN-MADE FILAMENTS.,34667.71,28680.87,-17.27
53,55,MAN-MADE STAPLE FIBRES.,16183.14,12974.29,-19.83
54,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",19972.13,23268.28,16.5
55,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,67301.7,81686.84,21.37
56,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,13081.93,16591.47,26.83
57,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",4291.9,4854.26,13.1
58,60,KNITTED OR CROCHETED FABRICS.,2487.61,1941.19,-21.97
59,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",529071.44,499754.59,-5.54
60,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",651098.29,600264.01,-7.81
61,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,203219.32,216222.51,6.4
62,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",257740.01,213259.76,-17.26
63,65,HEADGEAR AND PARTS THEREOF.,5330.32,5824.22,9.27
64,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",92.2,189.65,105.7
65,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,1152.9,1102.86,-4.34
66,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",70472.43,87349.09,23.95
67,69,CERAMIC PRODUCTS.,66826.02,109693.41,64.15
68,70,GLASS AND GLASSWARE.,20093.3,18505.13,-7.9
69,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",550576.19,504911.24,-8.29
70,72,IRON AND STEEL,176926.28,317390.26,79.39
71,73,ARTICLES OF IRON OR STEEL,274265.91,297500.43,8.47
72,74,COPPER AND ARTICLES THEREOF.,24513.57,24734.55,0.9
73,75,NICKEL AND ARTICLES THEREOF.,13726.45,18605.99,35.55
74,76,ALUMINIUM AND ARTICLES THEREOF.,81369.21,66358.7,-18.45
75,78,LEAD AND ARTICLES THEREOF.,7441.68,4467.73,-39.96
76,79,ZINC AND ARTICLES THEREOF.,10479.6,980.11,-90.65
77,80,TIN AND ARTICLES THEREOF.,901.29,482.8,-46.43
78,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,1489.35,2043.52,37.21
79,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",35056.57,35074.33,0.05
80,83,MISCELLANEOUS ARTICLES OF BASE METAL.,75777.51,88530.42,16.83
81,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",936905.69,1235932.88,31.92
82,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",1139962.62,1496947.19,31.32
83,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",3762.25,3441.46,-8.53
84,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",176916.3,236882.19,33.9
85,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",91785.51,122723.67,33.71
86,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",145475.85,579.82,-99.6
87,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",194040.08,160802.24,-17.13
88,91,CLOCKS AND WATCHES AND PARTS THEREOF.,884.11,1008.26,14.04
89,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,1087.78,2372.26,118.08
90,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,2144.41,1751.67,-18.31
91,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",91650.88,106695.63,16.42
92,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",54515.44,62136.19,13.98
93,96,MISCELLANEOUS MANUFACTURED ARTICLES.,12324.19,16747.93,35.89
94,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,18046.67,52985.02,193.6
95,98,PROJECT GOODS; SOME SPECIAL USES.,37.81,54.23,43.44
96,99,MISCELLANEOUS GOODS.,21.89,8.1,-63.01

